ProductID,Category,SubCategory,ProductName,CostPrice,SellingPrice
PROD0104,Furniture,Chair,Chaudhry PLC Chair,15272.7,23342.6
PROD0105,Office Supplies,Pen,Arya-Joshi Pen,11967.58,15098.76
PROD0106,Electronics,Tablet,Tripathi Group Tablet,1681.56,2767.64
PROD0107,Furniture,Table,Sabharwal-Solanki Table,14269.18,19431.36
PROD0108,Clothing,Shoes,"Bava, Dara and Yadav Shoes",9529.55,11575.07
PROD0109,Furniture,Chair,Sathe-Wable Chair,8230.92,14635.98
PROD0110,Office Supplies,Paper,Rau and Sons Paper,4528.83,7109.98
PROD0111,Furniture,Desk,Walla PLC Desk,1416.11,2476.74
PROD0112,Clothing,Shoes,Agate PLC Shoes,13788.47,23533.37
PROD0113,Furniture,Table,D’Alia Inc Table,8156.85,9211.35
PROD0114,Clothing,Jacket,Koshy LLC Jacket,7943.6,13960.06
PROD0115,Electronics,Laptop,"Som, Kunda and Bahri Laptop",9087.03,15256.28
PROD0116,Electronics,Phone,Gade LLC Phone,10422.18,14350.59
PROD0117,Electronics,Headphones,Krishna-Dugal Headphones,10370.92,15986.3
PROD0118,Electronics,Phone,Salvi-Kade Phone,5894.47,8126.28
PROD0119,Office Supplies,Printer,"Venkatesh, Sood and Mangat Printer",9280.81,12953.44
PROD0120,Electronics,Phone,"Tailor, Ramanathan and Verma Phone",9325.22,14475.27
PROD0121,Electronics,Laptop,"Rege, Ramesh and Taneja Laptop",3677.45,5552.26
PROD0122,Furniture,Table,Sridhar-Contractor Table,8329.83,11791.87
PROD0123,Furniture,Table,Sami-Tiwari Table,11847.28,18941.95
PROD0124,Furniture,Table,"Ganguly, Chandra and Brar Table",1894.58,2513.83
PROD0125,Furniture,Chair,"Thakur, Mammen and Ranganathan Chair",1914.71,3052.73
PROD0126,Office Supplies,Notebook,Bansal and Sons Notebook,10523.96,14405.84
PROD0127,Furniture,Table,Warrior-Barad Table,11051.88,12496.74
PROD0128,Furniture,Sofa,Zachariah-Ben Sofa,11353.28,17730.09
PROD0129,Furniture,Desk,Gala Group Desk,17389.49,21305.72
PROD0130,Electronics,Headphones,Sinha Ltd Headphones,6230.44,10037.94
PROD0131,Clothing,Jacket,Sunder-Tripathi Jacket,12566.41,14857.11
PROD0132,Furniture,Desk,Divan Ltd Desk,170.3,278.57
PROD0133,Electronics,Headphones,Keer-Bora Headphones,10002.79,14494.54
PROD0134,Electronics,Headphones,Shere-Deo Headphones,4833.78,7309.66
PROD0135,Clothing,Shoes,Malhotra-Aurora Shoes,8262.01,9547.44
PROD0136,Electronics,Phone,Sarma-Gulati Phone,17655.14,22857.74
PROD0137,Furniture,Chair,Sastry-Sen Chair,3778.32,4301.79
PROD0138,Office Supplies,Notebook,"Kapur, Bali and Swamy Notebook",2992.95,3360.19
PROD0139,Office Supplies,Printer,"Seshadri, Chand and Mani Printer",18415.66,20889.29
PROD0140,Clothing,Jeans,Balay-Rau Jeans,3310.57,4300.65
PROD0141,Furniture,Table,Deo Ltd Table,15011.76,20297.88
PROD0142,Electronics,Laptop,"Kant, Sengupta and Bhandari Laptop",15393.39,20411.25
PROD0143,Clothing,T-Shirt,Ram Ltd T-Shirt,15193.0,25680.98
PROD0144,Electronics,Tablet,Deshpande PLC Tablet,9469.26,11225.01
PROD0145,Office Supplies,Printer,Shetty Inc Printer,10588.35,15535.78
PROD0146,Furniture,Chair,"Amble, Varkey and Kurian Chair",2275.11,3664.77
PROD0147,Electronics,Headphones,"Seth, Mane and Handa Headphones",14509.08,22102.33
PROD0148,Office Supplies,Paper,Baria-Kothari Paper,12216.01,16143.97
PROD0149,Office Supplies,Pen,Chaudhary-Singhal Pen,12324.37,17839.25
PROD0150,Clothing,Shoes,Rege LLC Shoes,16178.81,27804.33
PROD0151,Furniture,Sofa,Dewan-Kunda Sofa,19587.23,21567.63
PROD0152,Electronics,Headphones,"Chawla, Swamy and Gill Headphones",12546.67,14837.04
PROD0153,Furniture,Table,Bhatia-Roy Table,8339.42,11121.91
PROD0154,Furniture,Chair,Bhandari Inc Chair,12848.3,20339.01
PROD0155,Office Supplies,Notebook,Tiwari-Sangha Notebook,6224.67,9054.92
PROD0156,Office Supplies,Notebook,"Cherian, Babu and Karan Notebook",2365.35,3153.72
PROD0157,Clothing,T-Shirt,"Bassi, Chowdhury and Deol T-Shirt",16657.65,20585.71
PROD0158,Office Supplies,Paper,Goyal-Bose Paper,18331.64,30395.29
PROD0159,Furniture,Table,Ganesan PLC Table,3192.19,4540.67
PROD0160,Office Supplies,Paper,Savant-Chandra Paper,15701.38,21821.26
PROD0161,Electronics,Tablet,"Khalsa, Talwar and Char Tablet",11342.36,17861.25
PROD0162,Electronics,Phone,Sandal Group Phone,11590.21,15440.52
PROD0163,Office Supplies,Notebook,Sarraf-Sur Notebook,19395.3,25142.55
PROD0164,Electronics,Tablet,Jaggi Ltd Tablet,19674.01,30269.6
PROD0165,Furniture,Table,Sankar-Acharya Table,3828.84,4524.89
PROD0166,Office Supplies,Printer,Chaudhari Inc Printer,14225.82,18351.99
PROD0167,Electronics,Headphones,Sehgal-Guha Headphones,17553.27,23874.35
PROD0168,Office Supplies,Pen,"Boase, Shroff and Sabharwal Pen",10549.5,12896.86
PROD0169,Office Supplies,Notebook,"Barad, Bansal and Kumar Notebook",15578.03,27095.61
PROD0170,Clothing,T-Shirt,Bal-Agrawal T-Shirt,16000.6,27736.55
PROD0171,Furniture,Desk,Thaker-Reddy Desk,6868.31,9879.59
PROD0172,Office Supplies,Printer,Biswas Ltd Printer,2951.57,5047.95
PROD0173,Furniture,Desk,Bath and Sons Desk,14518.96,20639.54
PROD0174,Electronics,Laptop,Bhat Inc Laptop,6288.53,7111.2
PROD0175,Electronics,Tablet,"Garde, Gupta and Rajan Tablet",9390.83,10633.22
PROD0176,Office Supplies,Notebook,Gill LLC Notebook,11593.44,15285.95
PROD0177,Furniture,Sofa,Raman-Dugal Sofa,4091.05,5320.81
PROD0178,Office Supplies,Paper,Grover-Tak Paper,13455.37,17368.97
PROD0179,Furniture,Sofa,Loyal-Seth Sofa,2377.76,4210.56
PROD0180,Electronics,Phone,Mahajan Inc Phone,10896.32,16176.2
PROD0181,Office Supplies,Pen,Sibal-Gala Pen,18871.23,31379.12
PROD0182,Furniture,Desk,"Sanghvi, Samra and Bhatt Desk",1517.73,2321.04
PROD0183,Office Supplies,Paper,"Ganguly, Saraf and Randhawa Paper",1109.45,1242.91
PROD0184,Electronics,Laptop,Vyas LLC Laptop,7733.63,8973.2
PROD0185,Clothing,Jeans,Dewan PLC Jeans,14123.08,24346.68
PROD0186,Clothing,Jacket,Badal Group Jacket,6317.57,10564.3
PROD0187,Electronics,Headphones,Bera-Saraf Headphones,11399.01,13280.32
PROD0188,Clothing,T-Shirt,Kapadia and Sons T-Shirt,9166.12,14474.54
PROD0189,Clothing,Shoes,"Kibe, Sathe and Warrior Shoes",4710.71,5919.74
PROD0190,Office Supplies,Printer,"Gaba, Garde and Bir Printer",7902.33,12562.57
PROD0191,Office Supplies,Printer,"Malhotra, Dubey and Mannan Printer",9120.33,10225.58
PROD0192,Clothing,T-Shirt,"Chaudhry, Bala and Gola T-Shirt",7093.67,10093.36
PROD0193,Furniture,Sofa,Bawa and Sons Sofa,15382.04,23428.51
PROD0194,Furniture,Chair,"Trivedi, Anand and Raja Chair",8173.15,13076.97
PROD0195,Electronics,Tablet,"Amble, Lala and Goyal Tablet",11167.38,12838.54
PROD0196,Office Supplies,Paper,Banerjee-Balakrishnan Paper,8076.25,11221.22
PROD0197,Furniture,Desk,Lala Ltd Desk,19480.45,26662.34
PROD0198,Office Supplies,Pen,"Comar, Badal and Chatterjee Pen",16296.92,24668.31
PROD0199,Clothing,Jacket,Gopal-Bora Jacket,10936.08,13837.51
PROD0200,Electronics,Headphones,"Behl, Sastry and Khanna Headphones",2375.02,3603.51
PROD0201,Office Supplies,Notebook,Madan Group Notebook,16458.26,20133.75
PROD0202,Clothing,T-Shirt,Kalita LLC T-Shirt,12005.36,18966.74
PROD0203,Clothing,Jacket,Kurian Inc Jacket,9936.47,15521.91
PROD0204,Electronics,Phone,"Choudhury, Tata and Sur Phone",16358.97,28155.15
PROD0205,Electronics,Phone,Gandhi-Agrawal Phone,13251.54,18778.52
PROD0206,Office Supplies,Paper,Chowdhury-Khosla Paper,12349.89,17450.54
PROD0207,Furniture,Sofa,"Thaker, Bumb and Sathe Sofa",6064.73,10043.45
PROD0208,Office Supplies,Paper,Ratti PLC Paper,14384.05,25036.63
PROD0209,Electronics,Laptop,Balan PLC Laptop,12268.67,17879.09
PROD0210,Furniture,Sofa,Chadha-Kara Sofa,1341.97,2322.62
PROD0211,Electronics,Laptop,"Hegde, Lala and Sandal Laptop",14096.75,23605.39
PROD0212,Office Supplies,Notebook,"Lala, Lad and Vasa Notebook",17238.83,29409.03
PROD0213,Furniture,Table,"Warrior, Ramakrishnan and Deep Table",14074.22,19365.96
PROD0214,Office Supplies,Paper,"Soman, Dutt and Babu Paper",8180.05,11489.97
PROD0215,Furniture,Desk,"Sachdev, Chatterjee and Jaggi Desk",9549.94,11763.22
PROD0216,Clothing,Jacket,Biswas and Sons Jacket,16815.26,20312.62
PROD0217,Furniture,Desk,Bhatti-Lall Desk,330.89,514.16
PROD0218,Furniture,Table,Baral Group Table,13192.74,23515.83
PROD0219,Furniture,Chair,Sachdev and Sons Chair,2830.68,4710.7
PROD0220,Clothing,Shoes,Acharya-Ray Shoes,12502.64,17729.69
PROD0221,Clothing,Shoes,"Wali, Yadav and Varma Shoes",7755.82,9756.97
PROD0222,Clothing,T-Shirt,"Dugar, Chakrabarti and Edwin T-Shirt",11600.98,19637.71
PROD0223,Furniture,Sofa,Contractor-Ganesh Sofa,8275.67,12267.16
PROD0224,Office Supplies,Notebook,Chokshi-Gopal Notebook,19566.85,29305.36
PROD0225,Office Supplies,Notebook,Sankaran-Sura Notebook,11647.35,20653.27
PROD0226,Electronics,Phone,Tiwari PLC Phone,14630.69,21484.96
PROD0227,Office Supplies,Paper,"Gopal, Anne and Sandhu Paper",10387.3,15231.41
PROD0228,Electronics,Phone,Dey LLC Phone,9501.79,15385.11
PROD0229,Electronics,Tablet,"Ranganathan, Sha and Solanki Tablet",12299.48,21308.97
PROD0230,Electronics,Headphones,Mall and Sons Headphones,9135.29,15842.77
PROD0231,Office Supplies,Paper,Dass-Sodhi Paper,7123.0,12710.51
PROD0232,Office Supplies,Printer,"Sharma, Mand and Venkatesh Printer",3433.41,5447.23
PROD0233,Office Supplies,Printer,"Lad, Dave and Bail Printer",1322.21,1892.36
PROD0234,Furniture,Chair,Sant-Som Chair,13160.77,17164.63
PROD0235,Electronics,Tablet,"Datta, Manda and Sen Tablet",9746.73,11586.67
PROD0236,Electronics,Tablet,Dyal-Badal Tablet,5115.81,7832.6
PROD0237,Office Supplies,Printer,Datta LLC Printer,382.64,450.78
PROD0238,Furniture,Desk,Hans-Rout Desk,13217.2,17960.02
PROD0239,Furniture,Sofa,"Barad, Sharma and Virk Sofa",15672.3,19830.74
PROD0240,Furniture,Chair,Chatterjee and Sons Chair,6922.68,8023.95
PROD0241,Furniture,Desk,Thakur LLC Desk,16768.52,27281.26
PROD0242,Clothing,Shoes,"Banerjee, Rastogi and Raman Shoes",4835.15,6808.52
PROD0243,Furniture,Desk,Badami-Gaba Desk,11597.37,19591.24
PROD0244,Electronics,Tablet,Agarwal-Vyas Tablet,15134.13,17876.37
PROD0245,Furniture,Table,Kadakia-Bala Table,8035.02,10533.57
PROD0246,Furniture,Table,"Apte, Hari and Grover Table",13701.85,18813.32
PROD0247,Office Supplies,Pen,"Sundaram, Chahal and Sawhney Pen",10655.8,14964.09
PROD0248,Office Supplies,Paper,Borra-Srivastava Paper,7701.88,10174.05
PROD0249,Electronics,Laptop,Mandal-Subramaniam Laptop,18362.47,28391.99
PROD0250,Clothing,Jacket,Jhaveri Group Jacket,6765.85,8707.39
PROD0251,Electronics,Tablet,"Sani, Shan and Sachar Tablet",13121.43,18026.32
PROD0252,Furniture,Desk,"Savant, Mammen and Agate Desk",10447.05,16447.86
PROD0253,Furniture,Sofa,"Wable, Comar and Magar Sofa",10997.49,17276.63
PROD0254,Electronics,Laptop,Goel-Sampath Laptop,8283.85,12158.08
PROD0255,Clothing,Jacket,"Sha, Batra and Sur Jacket",4466.38,5798.74
PROD0256,Furniture,Chair,Dora and Sons Chair,571.64,665.59
PROD0257,Furniture,Chair,Ghosh-Bali Chair,14190.69,16801.55
PROD0258,Furniture,Table,"Anand, Trivedi and Shere Table",13162.25,22769.75
PROD0259,Furniture,Chair,Sheth-Mandal Chair,13943.51,17810.53
PROD0260,Clothing,T-Shirt,Wason and Sons T-Shirt,12811.73,22367.83
PROD0261,Office Supplies,Paper,"Raval, Sharaf and Dada Paper",13875.21,21746.69
PROD0262,Office Supplies,Printer,Sheth-Konda Printer,3323.12,3827.56
PROD0263,Electronics,Headphones,"Sarraf, Saha and Barad Headphones",7832.95,14077.15
PROD0264,Office Supplies,Printer,Sibal-Sule Printer,3640.8,4181.75
PROD0265,Furniture,Table,"Sarraf, Borde and Lall Table",3651.0,5273.65
PROD0266,Furniture,Table,"Seshadri, Ganesan and Thakur Table",4445.89,6892.63
PROD0267,Clothing,Jacket,Baria-Sridhar Jacket,2155.41,2480.97
PROD0268,Office Supplies,Paper,"Cheema, Datta and Chatterjee Paper",473.42,685.7
PROD0269,Electronics,Laptop,Batta and Sons Laptop,13325.66,17143.54
PROD0270,Office Supplies,Paper,Chhabra-Goda Paper,11535.34,16850.46
PROD0271,Clothing,Shoes,"Bassi, Balay and Balan Shoes",8777.55,14841.38
PROD0272,Electronics,Phone,"Hans, Sarma and Bhasin Phone",165.82,293.15
PROD0273,Clothing,T-Shirt,"Kale, Saha and Bhattacharyya T-Shirt",11388.15,19980.85
PROD0274,Office Supplies,Printer,"Chada, Doctor and Malhotra Printer",13668.53,18868.45
PROD0275,Electronics,Tablet,"Kara, Bora and Tara Tablet",10739.06,19036.57
PROD0276,Electronics,Headphones,Zacharia-Baral Headphones,15233.02,19848.18
PROD0277,Furniture,Desk,"Acharya, Loke and Zacharia Desk",11134.06,19788.11
PROD0278,Furniture,Sofa,Choudhary-Behl Sofa,13948.06,24095.59
PROD0279,Office Supplies,Paper,"Doshi, Garg and Tandon Paper",1788.76,2759.97
PROD0280,Furniture,Desk,"Ganguly, Yadav and Hora Desk",810.4,905.83
PROD0281,Furniture,Table,Grewal PLC Table,7836.47,12968.71
PROD0282,Office Supplies,Paper,Dugal Group Paper,10725.41,18061.32
PROD0283,Clothing,T-Shirt,Bhandari PLC T-Shirt,837.15,953.71
PROD0284,Electronics,Headphones,Goyal-Krishnan Headphones,2451.92,4082.38
PROD0285,Clothing,Jeans,Sane Ltd Jeans,14846.92,18753.0
PROD0286,Electronics,Laptop,Goda-Wali Laptop,14735.65,21252.14
PROD0287,Electronics,Headphones,Ganesh-Bahri Headphones,18152.86,27825.8
PROD0288,Furniture,Desk,"Banerjee, Chanda and Uppal Desk",385.87,595.34
PROD0289,Office Supplies,Notebook,Badami-Contractor Notebook,9178.07,11192.5
PROD0290,Electronics,Laptop,Krish-Zachariah Laptop,2372.18,3597.37
PROD0291,Furniture,Chair,Krishnamurthy-Ganguly Chair,16108.63,22525.47
PROD0292,Clothing,Jacket,Behl Group Jacket,2503.97,3953.42
PROD0293,Furniture,Sofa,"Badami, Tella and Bedi Sofa",16744.9,27715.68
PROD0294,Electronics,Phone,Batta-Sarkar Phone,6776.52,8026.94
PROD0295,Furniture,Table,Sinha and Sons Table,3444.21,4680.51
PROD0296,Furniture,Table,Dua Group Table,4948.53,7459.36
PROD0297,Furniture,Chair,"Walia, Sur and Chandran Chair",15841.94,24436.77
PROD0298,Clothing,Jeans,Gaba and Sons Jeans,411.04,592.26
PROD0299,Electronics,Laptop,"Deo, Dhar and Kalla Laptop",3670.32,4266.38
PROD0300,Office Supplies,Paper,Anne-Dalal Paper,13900.72,22999.69
PROD0301,Clothing,Jeans,Gour and Sons Jeans,4202.59,6505.1
PROD0302,Clothing,Shoes,Issac and Sons Shoes,4861.15,5941.22
PROD0303,Electronics,Phone,"Kale, Saran and Bajaj Phone",14372.26,21967.06
PROD0304,Electronics,Tablet,Dugar-Chacko Tablet,7022.29,7746.98
PROD0305,Furniture,Desk,Sane-Sastry Desk,2438.41,3587.24
PROD0306,Electronics,Tablet,Vyas-Badal Tablet,17268.35,30923.25
PROD0307,Furniture,Table,Dugar and Sons Table,15429.59,24093.75
PROD0308,Office Supplies,Notebook,Reddy-Taneja Notebook,3955.01,6555.94
PROD0309,Clothing,Shoes,"Swamy, Bandi and Sura Shoes",3608.84,5662.63
PROD0310,Electronics,Laptop,Krish PLC Laptop,12932.73,16806.67
PROD0311,Clothing,Jacket,Din-Sharaf Jacket,6752.46,11233.44
PROD0312,Clothing,T-Shirt,Sarin-Gaba T-Shirt,2177.98,2475.75
PROD0313,Furniture,Desk,Kapur-Sood Desk,15731.29,22645.87
PROD0314,Electronics,Laptop,Sethi-Dubey Laptop,17912.08,28748.57
PROD0315,Office Supplies,Paper,"Toor, Savant and Ramanathan Paper",4055.15,6381.98
PROD0316,Office Supplies,Pen,Suri LLC Pen,15601.61,20723.5
PROD0317,Electronics,Phone,"Kumer, Shenoy and Dube Phone",14781.18,25259.86
PROD0318,Clothing,Jeans,"Bhatnagar, Dara and Tiwari Jeans",1563.24,2359.81
PROD0319,Electronics,Headphones,"Jani, Devi and Kata Headphones",2984.33,5221.15
PROD0320,Clothing,Jeans,Sandhu-Sehgal Jeans,7807.87,9334.18
PROD0321,Furniture,Sofa,"Batra, Mani and Deshmukh Sofa",19513.56,24227.01
PROD0322,Furniture,Chair,Sha LLC Chair,13874.99,15841.86
PROD0323,Furniture,Chair,Golla and Sons Chair,17047.86,24225.1
PROD0324,Furniture,Sofa,Sankaran-Vora Sofa,4475.09,5847.21
PROD0325,Furniture,Desk,Devan LLC Desk,11604.62,17255.25
PROD0326,Furniture,Chair,Contractor Ltd Chair,8292.75,12150.85
PROD0327,Furniture,Table,Rajagopal Group Table,16756.08,21706.15
PROD0328,Clothing,Jeans,"Sarna, Deo and Saran Jeans",5031.85,7064.59
PROD0329,Furniture,Desk,"Devan, Venkatesh and Zachariah Desk",18283.72,31608.46
PROD0330,Clothing,T-Shirt,Madan Ltd T-Shirt,897.17,1282.47
PROD0331,Electronics,Headphones,Wali-Bora Headphones,10669.32,15315.69
PROD0332,Electronics,Headphones,"Bera, Dutt and Sura Headphones",9956.17,11530.88
PROD0333,Electronics,Headphones,Basak PLC Headphones,19003.68,22669.46
PROD0334,Office Supplies,Pen,Gulati and Sons Pen,12988.04,15111.72
PROD0335,Clothing,Jacket,"Kalla, Koshy and Srinivasan Jacket",3319.88,4719.2
PROD0336,Electronics,Headphones,Dash Group Headphones,9328.84,11166.96
PROD0337,Clothing,Jeans,Sant-Wadhwa Jeans,15818.19,21501.58
PROD0338,Clothing,T-Shirt,Bhakta-Tara T-Shirt,17221.61,19796.05
PROD0339,Office Supplies,Notebook,Rege-Gade Notebook,6002.14,9765.61
PROD0340,Furniture,Chair,Kashyap-Banik Chair,12447.06,16616.65
PROD0341,Electronics,Tablet,Dora Inc Tablet,17770.76,20928.21
PROD0342,Office Supplies,Paper,"Tandon, Vaidya and Barman Paper",12420.76,16841.31
PROD0343,Furniture,Chair,Warrior LLC Chair,11259.09,18481.83
